,0
0,"Knesebeck is a village in Gifhorn (district) (Lower-Saxony). It is home to an important industry (Butting Gruppe GmbH & Co. KG) in the region.


== Associations and Cultural Life ==
For events of the various local clubs, see the calendar of events.


=== Music Clubs ===
Spielmannszug Jägercorps Knesebeck
Spielmannszug Schwarzes Corps Knesebeck
Musikzug der Freiwilligen Feuerwehr Knesebeck
Knesebecker Bläserkreis


=== Sports Clubs ===
VFL Knesebeck
Lauftreff Isenhagener Land


=== Activities ===
Freiwillige Feuerwehr Knesebeck
Riding club


== Economy ==
Industry
Butting Gruppe GmbH & Co. KGConsulting
Steuerkanzlei WolterMedia
Druckerei KirchhoffCraft
Bau- und Möbeltischlerei Holler GmbHSchools and conferencing facilities
Knesebeck primary school
Butting Academy
Private music school


== Health Care ==
Dr. Supady, general practitioner
Dr. Dettmer, general practitioner
Erik Lühe, dentist
Einhorn-Apotheke Knesebeck, pharmacy


== Traffic and Infrastructure ==
Knesebeck is connected to the Deutsche Bahn railway network. Connections are slow, but they provide good access to the German high-speed railway network via Wolfsburg, Braunschweig and Uelzen. The Wolfsburg high-speed connections allow an easy access to the airports in Hannover, Berlin and Frankfurt. Volkswagen operates regular business flights from the Braunschweig/Wolfsburg airport.


== Tourism and Spare Time ==
There are possible opportunities in Knesebeck for jogging, hunting and horse-riding. Sport facilities are provided by the Knesebeck sports associations. There is a public outdoor swimming area which is a natural lake, a small indoor pool and sauna.
Attractions in the region are the Lüneburger Heide, the Otterzentrum in Hankensbüttel, the Phaeno and Autostadt in Wolfsburg, the historic old towns of Celle, Lüneburg und Salzwedel as well as the Museumsdorf Hösseringen.


== Personalities ==
Ernst von Lenthe, (* 23. November 1823 in Knesebeck, † 7. February 1888 in Hannover): Oberappellationsgerichtsrat, deputy
Bernd Fix (* 19. March 1962): Hacker (Chaos Computer Club)
Lars Nieberg (* 24. Juli 1963): Winner in the Olympic Games, Equestrian / Jumping


== References ==


== External links ==
Knesebeck local news website
The family ""von dem Knesebeck"""
1,"The parbelos is a figure similar to the arbelos but instead of three half circles it uses three parabola segments. More precisely the parbelos consists of three parabola segments, that have a height that is one fourth of the width at their bases. The two smaller parabola segments are placed next to each other with their bases on a common line and the largest parabola is placed over the two smaller ones such that its width is the sum of the widths of the smaller ones (see graphic).
The parbelos has a number of properties which are somewhat similar or even identical to the some of the properties of the Arbelos. For instance the following two properties are identical to those of the arbelos:
The arc length of the outer parabola is equal to the sum of the arc lengths of the inner parabolas.
In a nested arbelos construction with the inner parabola segments being arbeloses themselves the two innermost parabola segments being adjacent to the cusp of the outer arbelos are congruent, that is of equal size.The quadrilateral 
  
    
      
        B
        
          M
          
            2
          
        
        M
        
          M
          
            1
          
        
      
    
    {\displaystyle BM_{2}MM_{1}}
   formed by the inner cusp 
  
    
      
        B
      
    
    {\displaystyle B}
   and the midpoints 
  
    
      
        M
        ,
        
          M
          
            1
          
        
        ,
        
          M
          
            2
          
        
      
    
    {\displaystyle M,M_{1},M_{2}}
   of the three parabola arcs is a parallelogram the area of which relates to the area of the parbelos as follows:

  
    
      
        
          F
          
            parallelogram
          
        
        =
        
          
            3
            4
          
        
        
          F
          
            parbelos
          
        
      
    
    {\displaystyle F_{\text{parallelogram}}={\frac {3}{4}}F_{\text{parbelos}}}
  The four tangents at the three cusps of the parabola intersect in four points, which form a rectangle being called the tangent rectangle. The circumcircle of the tangent rectangle intersects the base side of the outer parabola segment in its midpoint, which is the focus of the outer parabola. One diagonal of the tangent rectangle lies on a tangent to the outer parabola and its common point with it is identical to its point of intersection with perpendicular to the base at the inner cusp. For the area of the tangent rectangle the following equation holds:

  
    
      
        
          F
          
            rectangle
          
        
        =
        
          
            3
            2
          
        
        
          F
          
            parbelos
          
        
      
    
    {\displaystyle F_{\text{rectangle}}={\frac {3}{2}}F_{\text{parbelos}}}
  


== References ==


== Further reading ==
Emmanuel Tsukerman: ""Solution of Sondow’s Problem: A Synthetic Proof of the Tangency Property of the Parbelos"". In: The American Mathematical Monthly** , Vol. 121, No. 5 (May 2014), pp. 438-443
Antonio M. Oller-Marcén: ""The f-belos"". In: Forum Geometricorum, 13 (2013), pp. 103-111 (online copy)
Viktorija Ternar:  Arbelos, parabelos in f-belos (master thesis, University of Maribor, 2015)"
2,"Punch-Out!! is an arcade boxing video game by Nintendo, developed in 1983 and released in February 1984. It was the first in a series of successful Punch-Out!! games.
The arcade game was a global commercial success, becoming the top-performing arcade game of 1984 in the United States. It produced an arcade sequel known as Super Punch-Out!!, a spin-off of the series titled Arm Wrestling, a highly popular version for the NES originally known as Mike Tyson's Punch Out!!, and Super Punch-Out!! for the SNES.
The arcade game introduced recurring video games characters such as Glass Joe, Piston Hurricane, Bald Bull, and Mr. Sandman. It was also the debut project at Nintendo for composer Koji Kondo, better known for his later contributions in the Super Mario and The Legend of Zelda series.


== Gameplay ==

In the game, the player takes the role of a green-haired unnamed boxer (sometimes claimed to be Little Mac from the NES versions), known by three initials the player chooses when the game begins. During matches, the player's boxer is viewed from behind and above as a wireframe so the opponent can be seen. The player must time his punches, dodges and blocks in order to defeat the opposing boxer. Opponents' impending offensive moves are telegraphed by subtle eye changes (the whites of the eyes flash yellow), but the player must ultimately predict what moves the opponent will make and react appropriately.
Once the player defeats the last opponent, the opponents repeat with increased difficulty. The player has one 3-minute round to score a knockout and will automatically lose if time runs out. A fighter who is knocked down three times in one round will be unable to rise, leading to a knockout. In the event the player loses, the computer-controlled victor will taunt the player and the corner man for the player will try to entice the player to play again (""Come on, stand up and fight!"") via the game's distinctive digitized speech. Players are only allowed one continue per play through. Like many games made during the Golden Age of Arcade Games, there is no actual ending and the game continuously loops until the player loses.

The game is a modified upright, and was unusual in that it requires two video monitors, one atop the other, for the game's display. The top monitor is used to display statistics and fighter portraits, while the bottom one is the main game display (similar to Nintendo's Multi-Screen Game & Watch titles and the Nintendo DS) with the gameplay and power meters (representing stamina) for each fighter. Apart from this, the game is more or a less a standard upright. The game has a joystick and three buttons. Two buttons control left and right punches, one for each arm (denoted by ""Left!"", or ""Right!"" when hitting the head, or ""body blow!"" when hitting the body with either arm). A large button on the console allows the player to deliver a powerful uppercut or right hook, but only when the ""KO"" meter on the display is completely full. The meter increases when the player successfully lands a punch, decreases when the opponent lands one, and drops to zero when the player is knocked down. Once the meter is full, the corner man's digitized speech encourages the player to either ""Put him away!"" or ""Knock him out!"" 


== Development and release ==

The game was developed in 1983, and released in February 1984. Genyo Takeda from the Integrated Research & Development Division was the lead developer, and Shigeru Miyamoto designed the characters. It was released in the first quarter of 1984, when Nintendo was making several coin-operated arcade machines. Nintendo had an excessive number of video monitors after the success of the Donkey Kong series, basing the purchases on the estimate for the demand for arcade games. They were offered a proposition to make an arcade game that used two monitors. They chose to make a boxing game, which utilized the ability to zoom in and out of an object. This was a feature more commonly found in games that involve flying such as flight simulators, but the developers chose boxing because they thought it would be a different way to use it.Miyamoto and Takeda discussed an earlier arcade game created by Takeda: EVR RACE, a horse racing game from 1975, which used a video tape. It was a mechanical game, and was hard to maintain after it was released and had many breakdowns. While they were developing Punch-Out!!, laserdisc-based games were considered to be the next major advancement in the arcade industry. However, the maintenance requirement would be very large if they released laserdisc-based games worldwide. Despite this, domestic sales people wanted something like laserdisc, so they tried to find if it could be done with semiconductors. Miyamoto explained that that's why they were interested in microchips that could perform zooming and show pictures at a similar size as a laserdisc. However, he called it a ""rascal of a project"", explaining that when he made Donkey Kong, he had to animate each rolling barrel pixel by pixel. When he asked if they could use processing on the hardware side to rotate the image, they said ""it's not impossible"", changing from ""it can't be done.""He stated that a lot of new things were being created, but most of it was still under development. They told Miyamoto that they could zoom in or rotate the image, but not both at once. They were planning on using the new microchips as well as the two monitors, considering lining them up side by side and making a big racing game, but it was not powerful enough to accomplish this, only able to expand one of the images. Takeda stated that if they could only expand one image, it could be a person. This eventually allowed it to become a boxing game, with one opponent, deciding that one monitor was good enough for a boxing game. They were stuck at that point, but thought that a boxing arena has big lights and banners hanging from the ceiling with things like ""World Heavyweight Title Match"" written on them. The game would also feature several meters, so they thought it would be more fun to have two screens instead of one.Mario, Luigi, Donkey Kong, and Donkey Kong Junior all appear in the audience. The game's title music, also heard in the arcade version of Super Punch-Out!! and the NES version of Punch-Out!!, is actually the ""Gillette Look Sharp March"". This jingle, originally heard in Gillette radio and television commercials in the 1950s, was later used as the theme song to the Gillette Cavalcade of Sports, which aired boxing matches.


== Reception ==
The arcade game was a hit in all regions for Nintendo. In Japan, Game Machine listed Punch-Out!! on their April 15, 1984 issue as being the second top-grossing upright/cockpit arcade cabinet of the month.In North America, Punch-Out took the arcade market by storm according to Play Meter magazine in 1984, capitalizing on the success of sports video games following Track & Field (1983). It was one of the more successful arcade games during the post-boom period of the mid-1980s. Punch-Out topped the US arcade charts during 1984, including the RePlay charts in July (upright cabinets) and December, and the Play Meter charts for dedicated arcade cabinets from August 1 through November 15. Punch-Out went on to become the top-performing arcade game of 1984 in the United States.The arcade game was reviewed in the August 1984 issue of Computer and Video Games, published in July 1984. The magazine gave the game a positive review, describing it as a ""knock-out"" and a ""fabulous boxing game"". The review also praised the graphics as being ""great"" and ""cartoon-style"" and concluded that it is ""a very addictive game which is great fun to play.""Punch-Out!! was later marked in the Killer List of Videogames (KLOV) Top 100, as one of their top 100 best games of all time. They also listed it as the Game of the Year for the year 1984. In 1995, Flux magazine rated Punch-Out!! 21st in its ""Top 100 Video Games."" In 1996, GamesMaster ranked the game 83rd on their ""Top 100 Games of All Time.""


== Legacy ==
In Super Smash Bros. for Nintendo 3DS and Wii U and Super Smash Bros. Ultimate, series protagonist Little Mac appears as a playable fighter. The character features a set of wireframe alternate costumes based on his appearance from the original arcade games. Little Mac also features a special mechanic based on the KO gauge from the arcade titles, which, once full, can usually let him instantly KO an opponent with a powerful uppercut.


=== Re-releases, sequels, and spin-offs ===
During the same year, an arcade sequel to Punch-Out!! titled Super Punch-Out!! was developed and released by Nintendo, which has fewer, but tougher boxers to fight against.
In 1985, a spin-off called Arm Wrestling was developed and released in the arcades only in North America by the same company, which is based on real arm wrestling.
In 1987, the growing popularity of the Nintendo Entertainment System (NES) caused the development and release of Punch-Out!! for the NES console to happen. Several elements, such as opponents and their names, were changed for this version. In particular, professional boxer Mike Tyson was added as the game's final boss. In 1990, when the contract licensing the use of Tyson's name in the console version expired, Nintendo replaced Tyson with an original character named Mr. Dream, re-releasing it as Punch-Out!! (or Punch-Out!! featuring Mr. Dream). Like Mike Tyson's Punch-Out!!, Punch-Out!! featuring Mr. Dream bore no further resemblance to the arcade version.
During its release, the Game & Watch game called Boxing was re-released as Punch-Out!!, which used the front box art of the Mr. Dream version as its package art. Sometimes it was released with different cover art.
A Super Nintendo Entertainment System title, Super Punch-Out!! was released in 1994. It was far more faithful to the arcade stand-up gameplay; however, it was not a direct port either.
A Wii title, Punch-Out!! was released in 2009. It is a reboot of the Punch-Out!! series, that brought back many characters from the previous games, as well as introducing Disco Kid and Donkey Kong as opponents.
On September 13, 2017, Nintendo announced during a Nintendo Direct that they would be re-releasing some of their classic arcade games on the Nintendo Switch, and that Punch-Out!! would be one of the several games that would be re-released. It was released on March 30, 2018.


== Notes ==


== References ==


== External links ==

Punch-Out!! at the Killer List of Videogames
Hardcore Gaming 101 Article on the Punch-Out!!! series
Punch-Out!! at NinDB
Punch-Out!! (arcade game) at Curlie"
3,"Sa Kuko ng Agila (lit. 'In the Eagle's Claw'), is a 1989 film directed by Augusto Buenaventura, written by Ricky Lee, and starring Senator Joseph Estrada alongside Senator Nikki Coseteng, Maria Isabel Lopez, Tommy Abuel, Paquito Diaz and Jinggoy Estrada. The film is a depiction of the real Olongapo City when the U.S. Military bases were still there.


== Plot ==
Tonyo (Joseph Estrada), a mini-bus driver in Olongapo, opposes U.S. military bases in the Philippines. He saw the changes of the city after the military bases were established. Social problems of corruption, prostitution, poverty, and the plight of fishermen after the base appropriated much of the land and sea. The movie depicts his struggle between principle and practicality, a battle of healthy past and promising future and the quest for freedom and nationalism.


== Full cast ==
Joseph ""Erap"" Estrada as Tonyo
Anna Dominique ""Nikki"" Coseteng as Cristy
Maria Isabel Lopez as Shirley
Paquito Diaz as Martin
Tommy Abuel as Lucio
Jinggoy Estrada as Caloy
Laurice Guillen as Lumeng
Subas Herrero as Jose Morelos
Ruben Rustia as Don Fernando
Dexter Doria as Lolit
Lara Melissa de Leon as Del
Ilonah Jean as Anna
Bomber Moran as Asyong
Caloy Salvador as Badong
Anna Ascalon as Photographer
Rene Matias as Sunga


== Production ==
In early November 1988, Senators Joseph Estrada and Nikki Coseteng revealed to the press that they plan to star in a film called Sa Kuko ng Agila, which will revolve around the issue of United States military bases in the Philippines; the expected release date for the film was in February 1989.


== Accoladess ==


== References ==


== External links ==
Sa Kuko Ng Agila at IMDb"
4,"Shah Vali (Persian: شاه ولي, also Romanized as Shāh Valī and Shāhvalī) is a village in Zarrineh Rural District, Karaftu District, Divandarreh County, Kurdistan Province, Iran. At the 2006 census, its population was 241, in 48 families. The village is populated by Kurds.


== References =="
5,"Kono is a village in Rivers State, Nigeria. It is situated on the coast in Khana Local Government Area, about 45 miles (72.4 km) from Port Harcourt. The dialect spoken in Kono is Khana, and the people are Ogoni.  Former Footballer Joseph Yobo was born and grew up in Kono. The present traditional Ruler in Kono is Mr Anson Monday Nwige. The Community has about four oil wells. It can boast of ethnic and cultural events which include the Waaro festival and Nwikorobee Festival. These festivals attract many visitors.


== References =="
6,"The 1961 New Jersey gubernatorial election was held on November 7, 1961. Democratic nominee Richard J. Hughes defeated Republican nominee James P. Mitchell with 50.37% of the vote.


== Primary elections ==
Primary elections were held on April 18, 1961.


=== Democratic primary ===


==== Candidates ====
Richard J. Hughes, former Superior Court judge
Weldon R. Sheets
Eugene E. Demarest


==== Results ====


=== Republican primary ===


==== Candidates ====
James P. Mitchell, former United States Secretary of Labor
Walter H. Jones, State Senator from Bergen County
Wayne Dumont, State Senator from Warren County
Louis Berns


==== Results ====


== General election ==


=== Candidates ===
Major party candidates

Richard J. Hughes, Democratic
James P. Mitchell, RepublicanOther candidates

Reinhart V. Metzger, Conservative
Henry B. Krajewski, Veterans Bonus Now
Edward J. Lueddeke, Prosperity with Liberty
G. George Addonizio, Independent
Albert Ronis, Socialist Labor Party of America
Daniel Petrino, State Soldiers Bonus
Ruth F. Shiminsky, Socialist Workers


=== Results ===


== References =="
7,"Covert is an unincorporated community in Covert Township, Osborne County, Kansas, United States.  It is located southwest of Osborne.


== History ==
Covert was founded and laid out in 1880. At its height, the population was 150.A post office was opened at Covert in 1873, and remained in operation until it was discontinued in 1961.The town is known for the 1923 discovery of the Covert Meteorite, and for ""the unsolved murders of the Albert Kaser family in 1928"".


== Geography ==


=== Climate ===
The climate in this area is characterized by hot, humid summers and generally mild to cool winters. According to the Köppen Climate Classification system, Covert has a humid subtropical climate, abbreviated ""Cfa"" on climate maps.


== Education ==
Covert's rural high school district was organized in 1915. The high school burned down in 1951, and was closed permanently the following year. The school did not have a mascot until 1947–1951, when it was Covert Wildcats. The town team mascot was Covert Coyotes.


== References ==


== Further reading ==

Kennedy, Mona Winder (2012). Covert, Kansas: the evolution of a ghost town, from the beginning-- to the memories (First ed.). Osborne, Kansas: Ad Astra Publishing. ISBN 9781606140130.


== External links ==
Covert Kansas - an Osborne County ghost town
Covert, Kansas topo map
Osborne County maps: Current, Historic, KDOT"
8,"Phlaeothrips is a genus of thrips in the family Phlaeothripidae.


== Species ==
Phlaeothrips amphicinctus
Phlaeothrips amplicincta
Phlaeothrips anacardii
Phlaeothrips annulicornis
Phlaeothrips annulipes
Phlaeothrips bacauensis
Phlaeothrips bispinoides
Phlaeothrips bispinosus
Phlaeothrips coriaceus
Phlaeothrips denticauda
Phlaeothrips gallicus
Phlaeothrips glabrigenis
Phlaeothrips guriensis
Phlaeothrips mauiensis
Phlaeothrips minor
Phlaeothrips nilgiricus
Phlaeothrips pillichianus
Phlaeothrips poecilus
†Phlaeothrips schlechtendali
Phlaeothrips spurius
Phlaeothrips subglaber
Phlaeothrips sycomori
Phlaeothrips tristis
Phlaeothrips varius


== References =="
9,"Claude R. Canizares is an American physicist who stepped down June 30, 2015 from his post as Vice President of MIT. He remains the Bruno Rossi Professor of Physics at MIT and associate director for MIT of the Chandra X-Ray Observatory Center.


== Academic career ==
Canizares earned his B.A., M.A. and Ph.D. degrees in Physics from Harvard University.  He came to MIT as a postdoctoral fellow in 1971 and joined the physics faculty in 1974.  In 1984, he was made a full professor.
From 1990 to 2002, Canizares was the director of MIT's Center for Space Research (now known as the MIT Kavli Institute for Astrophysics and Space Research).  In 2002, he was appointed Associate Provost and Vice President for Research. He left the Associate Provostship and VPR positions to become VP in 2013.
Canizares is also the principal investigator for the Chandra X-ray Observatory's High Resolution Transmission Grating Spectrometer instrument.
He was elected a Fellow of the American Physical Society in 1989 for ""pioneering investigations in x-ray astrophysics, particularly in the analysis of astrophysical plasmas by high-resolution x-ray spectroscopy"" 


== Selected publications ==
Canizares is the author or co-author of more than 170 scientific papers.

""Simulating the X-ray Forest""T Fang, GL Bryan, and C.R. CanizaresApJ 564, 604 (2002)

""The High Resolution X-ray Spectrum of SS 433 using the Chandra HETGS""H.L Marshall, C.R. Canizares and N.S. SchulzApJ 564, 941-952 (2002)

""A High Resolution X-ray Image of the Jet in M 87""H.L. Marshall, B.P. Miller, D.S. Davis, E.S. Perlman, M. Wise, C.R. Canizares, D.E. Harris, J.A. BirettaApJ 564, 683-687 (2002)

""Resolving the Composite Fe K-alpha Emission Line in the Galactic Black Hole Cygnus X-1 with Chandra""J.M. Miller, A.C. Fabian, R. Wijnands, R.A. Remillard, P. Wojdowski, N.S. Schulz, T. Di Matteo, H.L. Marshall, C.R. Canizares, D. Pooley, W.H.G. LewinApJ submitted, February 2002.

""High Resolution X-Ray Spectroscopy of the Multiphase Interstellar Medium toward Cyg X-2""Y.Yao, N.S. Shulz, M.F. Gu, M.A. Nowak and C.R. CanizaresApJ 696, (2) 1418-1430 (2009)

""""X-ray Emission and Corona of the Young Intermediate Mass Binary q1 Ori E.""D.P. Huenemoerder, N.S. Schulz, P. Testa, A.Kesich, C.R. CanizaresApJ 707, 942-953 (2009)

""Confirmation of X-Ray Absorption by WHIM in the Sculptor Wall""T.Fang, D.A. Buote, P.J. Humphrey, C.R. Canizares, L. Zappacosta, R.MaiolinoApJ 714, 1715-1724 (2010)


== References ==


== External links ==

MIT Press Release Nov. 25, 2014
Claude Canizares' website at MIT"
