,0
0,"Euchalcia maria is a moth of the family Noctuidae. It is endemic of the Levant. It is found from south-eastern Turkey to Israel.
Adults are on wing from March to May. There is one generation per year."
1,"The Siøsund Bridge (Danish: Siøsundbroen) is a road bridge that connects the Danish islands of Tåsinge and Siø. It crosses Siøsund, a shallow strait that allowed much of the link to be built as a causeway, the Siø Causeway or Siø Dam (Danish: Siødæmningen).The bridge is a low box girder bridge that does not allow the passage of ships. It consists of 20 identical spans, each 27 metres (89 ft) long, and was the first bridge in Denmark to be built from prefabricated concrete box girders. The road deck is 7.0 metres (23 ft) wide, with a 2.5 m (8 ft) pavement on either side.The bridge and causeway are part of route 9 which also connects Tåsinge to Funen via the Svendborgsund Bridge and Siø to Langeland via the Langeland Bridge."
2,"In chemistry, dialysis is the process of separating molecules in solution by the difference in their rates of diffusion through a semipermeable membrane, such as dialysis tubing.Dialysis is a common laboratory technique that operates on the same principle as medical dialysis.  In the context of life science research, the most common application of dialysis is for the removal of unwanted small molecules such as salts, reducing agents, or dyes from larger macromolecules such as proteins, DNA, or polysaccharides. Dialysis is also commonly used for buffer exchange and drug binding studies.
The concept of dialysis was introduced in 1861 by the Scottish chemist Thomas Graham. He used this technique to separate sucrose (small molecule) and gum Arabic solutes (large molecule) in aqueous solution. He called the diffusible solutes crystalloids and those that would not pass the membrane colloids.From this concept dialysis can be defined as a spontaneous separation process of suspended colloidal particles from dissolved ions or molecules of small dimensions through a semi permeable membrane. Most common dialysis membrane are made of cellulose, modified cellulose or synthetic polymer (cellulose acetate or nitrocellulose).

"
3,The Crestar-Farm Fresh Classic was a golf tournament on the LPGA Tour from 1979 to 1992. It was played at three different courses in Hampton Roads area of Virginia.
4,"The 2005 Men's South American Volleyball Championship was the 26th edition of the event, organised by South America's governing volleyball body, the Confederación Sudamericana de Voleibol (CSV). It was hosted in Ginasio Jones Minosso in Lages, Brazil from September 14 to September 18, 2005.

"
5,Epepeotes pictus is a species of beetle in the family Cerambycidae. It was described by Stephan von Breuning in 1938.
6,"West Woodhay Down is a 1.5-hectare (3.7-acre) biological Site of Special Scientific Interest  in Berkshire and Hampshire. It is lowland Calcareous grassland with a northwest facing bank, and forms part of the northern slopes of Walbury Hill and Combe Hill. The site was formerly included as part of Inkpen and Walbury Hills SSSI.West Woodhay Down is in the civil parishes of West Woodhay and East Woodhay, to the south-west of the town of Newbury. West Woodhay parish is within the unitary authority area of West Berkshire and the ceremonial county of Berkshire, whilst East Woodhay is within the district of Basingstoke and Deane in the administrative county of Hampshire."
7,"""The Siren"" (Russian: Сирена, romanized: Sirena) is an 1887 short story by Anton Chekhov.

"
8,"Central Catholic High School is a private, Roman Catholic high school in DuBois, Pennsylvania.  It is located in the Roman Catholic Diocese of Erie. Their nickname is the ""Cardinals"". Their colors are cardinal red, white, and blue."
9,The SNCF Class BB 66700 is a class of centre cab diesel locomotives rebuilt from the earlier Class BB 66000. They were regeared and had ballast weights added at Nevers depot to enable them to deal with heavier freight wagons. 34 locomotives were converted between 1985 and 1989.
